Name,Student ID,Class,Gender,Date of Birth,Nationality,Religion,Guardian Address,Previous School
Ishmael Kwesi Aidoo,,BUSINESS-2,Male,2010-07-27,Ghanaian,Traditional,"81 Mamprobi, Accra",Crown Prep
Nadia Afia Agyemang,,BUSINESS-2,Female,2009-01-12,Ghanaian,Islam,"18 Tema, Accra",Galaxy Preparatory
Maxwell Kwesi Wiredu,,BUSINESS-2,Male,2008-05-26,Togolese,Christianity,"95 Achimota, Tema",Sunrise Basic School
Vida Aba Baffoe,,BUSINESS-2,Female,2010-05-05,Ghanaian,Islam,"21 Adenta, Accra",Bright Future Academy
Elijah Yaw Bediatuo,,BUSINESS-2,Male,2009-08-13,Ghanaian,Islam,"52 Awoshie, Accra",Galaxy Preparatory
Patience Esi Danso,,BUSINESS-2,Female,2010-08-07,Togolese,Christianity,"27 Airport Residential, Tema",Crown Prep
Michael Kwesi Agyemang,,BUSINESS-2,Male,2010-08-26,Togolese,Islam,"57 Kaneshie, Tema",Sunrise Basic School
Ohemaa Esi Opoku,,BUSINESS-2,Female,2009-01-12,Ghanaian,Islam,"38 Airport Residential, Accra",Bright Future Academy
Kwaku Nii Baidoo,,BUSINESS-2,Male,2009-02-01,Ivorian,Traditional,"17 Lapaz, Accra",St. Peter’s Basic School
Serwaa Yaa Appau,,BUSINESS-2,Female,2008-08-05,Ghanaian,Traditional,"67 Awoshie, Accra",Little Angels School
Abdul Kofi Opoku,,BUSINESS-2,Male,2008-08-24,Togolese,Traditional,"53 Ashaiman, Tema",Little Angels School
Matilda Akua Wiredu,,BUSINESS-2,Female,2010-08-02,Ghanaian,Christianity,"37 Lapaz, Accra",St. Peter’s Basic School
Isaac Kojo Larbi,,BUSINESS-2,Male,2010-01-14,Ivorian,Islam,"61 East Legon, Accra",Bright Future Academy
Ohemaa Adjoa Darko,,BUSINESS-2,Female,2010-08-14,Ghanaian,Christianity,"22 Dansoman, Accra",New Era Academy
Kwabena Nii Essien,,BUSINESS-2,Male,2009-08-09,Ivorian,Traditional,"61 Kaneshie, Accra",Sunrise Basic School
Grace Aba Boateng,,BUSINESS-2,Female,2008-11-22,Ghanaian,Christianity,"9 Adenta, Accra",Bright Future Academy
Kwame Kofi Boateng,,BUSINESS-2,Male,2009-02-14,Ghanaian,Christianity,"117 Lapaz, Accra",St. Peter’s Basic School
Abena Yaa Baidoo,,BUSINESS-2,Female,2008-02-29,Ghanaian,Christianity,"50 Airport Residential, Accra",Little Angels School
Kelvin Nii Bonsu,,BUSINESS-2,Male,2008-08-26,Ivorian,Islam,"43 Tema, Tema",Sunrise Basic School
Yaa Aba Eshun,,BUSINESS-2,Female,2010-07-03,Ghanaian,Islam,"30 Kaneshie, Accra",St. Peter’s Basic School
Nana Kojo Nyarko,,BUSINESS-2,Male,2008-06-04,Ivorian,Christianity,"109 Lapaz, Accra",Crown Prep
Abena Akua Ofori,,BUSINESS-2,Female,2009-03-31,Nigerian,Islam,"52 Teshie, Accra",Divine Grace School
Elijah Kwesi Peprah,,BUSINESS-2,Male,2010-04-14,Ivorian,Christianity,"93 Osu, Accra",Little Angels School
Tracy Adjoa Dapaah,,BUSINESS-2,Female,2010-06-21,Ivorian,Christianity,"38 Nungua, Tema",Little Angels School
Francis Kofi Baidoo,,BUSINESS-2,Male,2009-08-26,Ghanaian,Christianity,"30 Spintex, Tema",Divine Grace School
Esther Naa Opoku,,BUSINESS-2,Female,2008-07-15,Ghanaian,Islam,"86 Spintex, Accra",Hope Academy
Isaac Yaw Nti,,BUSINESS-2,Male,2009-01-01,Ghanaian,Traditional,"107 Ashaley Botwe, Accra",Galaxy Preparatory
Theresa Esi Donkor,,BUSINESS-2,Female,2009-03-15,Ghanaian,Traditional,"58 Kaneshie, Accra",Hope Academy
Kofi Nii Yeboah,,BUSINESS-2,Male,2009-05-30,Togolese,Christianity,"40 Achimota, Tema",Divine Grace School
Ursula Adjoa Baidoo,,BUSINESS-2,Female,2010-05-06,Nigerian,Christianity,"107 Kaneshie, Accra",St. Peter’s Basic School
Prince Kojo Gyamfi,,BUSINESS-2,Male,2010-03-30,Ivorian,Christianity,"38 Ashaiman, Accra",Sunrise Basic School
Akua Akua Nkansah,,BUSINESS-2,Female,2010-06-27,Nigerian,Christianity,"81 Ashaiman, Accra",Bright Future Academy
Michael Kwesi Dartey,,BUSINESS-2,Male,2010-02-26,Nigerian,Islam,"100 Haatso, Accra",Hope Academy
Keziah Afia Arthur,,BUSINESS-2,Female,2009-12-01,Togolese,Christianity,"26 Osu, Tema",Galaxy Preparatory
Abdul Paapa Aidoo,,BUSINESS-2,Male,2009-07-31,Nigerian,Christianity,"67 Kaneshie, Accra",Sunrise Basic School
Adwoa Aba Mensah,,BUSINESS-2,Female,2009-05-02,Ivorian,Christianity,"47 Dansoman, Accra",Crown Prep
Kwaku Kojo Amoah,,SCIENCE 1-A ,Male,2010-07-05,Ghanaian,Islam,"77 Airport Residential, Accra",Bright Future Academy
Theresa Esi Nyarko,,SCIENCE 1-A ,Female,2011-04-27,Ivorian,Traditional,"24 Lapaz, Accra",Bright Future Academy
Nathaniel Paapa Baffoe,,SCIENCE 1-A ,Male,2010-02-17,Nigerian,Christianity,"79 Lapaz, Accra",Ridge International School
Zainab Yaa Gyamfi,,SCIENCE 1-A ,Female,2011-07-14,Togolese,Christianity,"84 Osu, Tema",Sunrise Basic School
Ato Paapa Agyemang,,SCIENCE 1-A ,Male,2011-03-04,Ghanaian,Christianity,"38 Mamprobi, Accra",Divine Grace School
Zainab Esi Owusu,,SCIENCE 1-A ,Female,2010-05-27,Ivorian,Christianity,"21 Adenta, Accra",Divine Grace School
Nathaniel Paapa Appiah,,SCIENCE 1-A ,Male,2010-06-12,Ghanaian,Christianity,"44 Achimota, Accra",Hope Academy
Afua Afia Darko,,SCIENCE 1-A ,Female,2011-01-10,Ghanaian,Traditional,"80 Madina, Accra",Divine Grace School
Gideon Yaw Baffoe,,SCIENCE 1-A ,Male,2010-04-15,Ivorian,Traditional,"33 Adenta, Accra",Divine Grace School
Keziah Afia Kyei,,SCIENCE 1-A ,Female,2011-04-01,Ghanaian,Christianity,"5 Tema, Tema",Ridge International School
Elijah Nii Asante,,SCIENCE 1-A ,Male,2011-06-05,Togolese,Christianity,"40 Madina, Tema",Ridge International School
Josephine Esi Bempah,,SCIENCE 1-A ,Female,2010-06-13,Ghanaian,Christianity,"38 Mamprobi, Tema",New Era Academy
Kwaku Kofi Eshun,,SCIENCE 1-A ,Male,2009-07-10,Ivorian,Christianity,"2 East Legon, Accra",St. Peter’s Basic School
Yvonne Esi Danso,,SCIENCE 1-A ,Female,2009-01-24,Ghanaian,Christianity,"107 Tema, Accra",Galaxy Preparatory
Raphael Paapa Peprah,,SCIENCE 1-A ,Male,2008-12-31,Ghanaian,Christianity,"82 Madina, Accra",Crown Prep
Zoe Yaa Wiredu,,SCIENCE 1-A ,Female,2009-03-02,Ivorian,Christianity,"13 Spintex, Accra",Little Angels School
Bright Kwesi Aidoo,,SCIENCE 1-A ,Male,2010-12-10,Ghanaian,Christianity,"112 Ashaiman, Accra",Crown Prep
Ursula Aba Akoto,,SCIENCE 1-A ,Female,2010-11-30,Ghanaian,Islam,"60 Airport Residential, Accra",Divine Grace School
Ibrahim Kwesi Boateng,,SCIENCE 1-A ,Male,2009-04-21,Togolese,Traditional,"6 Nungua, Accra",Crown Prep
Stella Afia Baidoo,,SCIENCE 1-A ,Female,2011-07-25,Togolese,Christianity,"99 Madina, Accra",Bright Future Academy
Francis Kwame Danso,,SCIENCE 1-A ,Male,2009-06-21,Ghanaian,Islam,"41 Airport Residential, Accra",New Era Academy
Akua Adjoa Opoku,,SCIENCE 1-A ,Female,2009-03-30,Ghanaian,Islam,"62 Teshie, Accra",Bright Future Academy
Yaa Kwame Agyemang,,SCIENCE 1-A ,Male,2009-06-22,Ivorian,Traditional,"43 Dzorwulu, Tema",Ridge International School
Akua Afia Yorke,,SCIENCE 1-A ,Female,2009-08-30,Ivorian,Christianity,"85 Lapaz, Accra",Hope Academy
Ato Nii Nyarko,,SCIENCE 1-A ,Male,2009-03-22,Ghanaian,Islam,"36 Ashaiman, Tema",Divine Grace School
Elizabeth Naa Bempah,,SCIENCE 1-A ,Female,2008-12-15,Ghanaian,Islam,"7 Adenta, Accra",Little Angels School
Stephen Yaw Arthur,,SCIENCE 1-A ,Male,2008-11-24,Ghanaian,Islam,"43 Achimota, Accra",New Era Academy
Wilhemina Akua Peprah,,SCIENCE 1-A ,Female,2010-05-26,Ghanaian,Traditional,"88 Madina, Accra",Divine Grace School
Elijah Yaw Aidoo,,SCIENCE 1-A ,Male,2009-11-08,Ghanaian,Christianity,"33 Ashaley Botwe, Accra",Ridge International School
Ursula Afia Blay,,SCIENCE 1-A ,Female,2011-06-08,Ghanaian,Christianity,"50 Nungua, Accra",Bright Future Academy
Kelvin Kofi Amoah,,SCIENCE 1-A ,Male,2009-08-21,Nigerian,Christianity,"103 Achimota, Accra",Crown Prep
Adwoa Afia Bediako,,SCIENCE 1-A ,Female,2009-07-31,Ghanaian,Islam,"18 Spintex, Tema",New Era Academy
Lawrence Kofi Darko,,SCIENCE 1-A ,Male,2011-05-15,Ghanaian,Christianity,"20 Tema, Tema",Little Angels School
Comfort Akua Wiredu,,SCIENCE 1-A ,Female,2010-01-15,Togolese,Islam,"69 Mamprobi, Accra",St. Peter’s Basic School
Kwame Kojo Ampofo,,SCIENCE 1-A ,Male,2009-06-01,Togolese,Christianity,"91 Teshie, Accra",Crown Prep
Ivy Afia Nyarko,,SCIENCE 1-A ,Female,2009-03-24,Ghanaian,Christianity,"54 Dzorwulu, Tema",Ridge International School
Nii Kwesi Aggrey,,SCIENCE 1-A ,Male,2010-05-04,Togolese,Christianity,"82 Kaneshie, Accra",New Era Academy
Ama Aba Blay,,SCIENCE 1-A ,Female,2009-04-21,Togolese,Islam,"87 Airport Residential, Tema",New Era Academy
Vincent Kwame Gyasi,,SCIENCE 1-A ,Male,2009-11-19,Nigerian,Christianity,"33 Teshie, Accra",Crown Prep
Queendalyn Aba Amissah,,SCIENCE 1-A ,Female,2009-08-29,Ghanaian,Christianity,"117 Kaneshie, Accra",New Era Academy
Patrick Kofi Antwi,,SCIENCE 1-A ,Male,2010-01-05,Nigerian,Christianity,"7 Kaneshie, Accra",Hope Academy
Emelia Adjoa Arthur,,SCIENCE 1-A ,Female,2010-01-26,Ghanaian,Christianity,"37 Ashaiman, Accra",Ridge International School
Tobias Nii Ampofo,,SCIENCE 1-B,Male,2011-07-23,Nigerian,Traditional,"22 Ashaiman, Accra",New Era Academy
Stella Esi Ansah,,SCIENCE 1-B,Female,2008-12-14,Ivorian,Christianity,"88 Lapaz, Accra",St. Peter’s Basic School
Henry Kofi Asante,,SCIENCE 1-B,Male,2011-04-16,Ivorian,Christianity,"18 Adenta, Tema",Bright Future Academy
Nhyira Afia Agyemang,,SCIENCE 1-B,Female,2009-03-30,Nigerian,Christianity,"38 Adenta, Tema",Ridge International School
Ibrahim Kofi Owusu,,SCIENCE 1-B,Male,2011-06-30,Ghanaian,Christianity,"70 Tema, Tema",Sunrise Basic School
Adjoa Adjoa Acheampong,,SCIENCE 1-B,Female,2010-04-29,Ghanaian,Islam,"21 Dzorwulu, Accra",Ridge International School
Richmond Nii Ofori,,SCIENCE 1-B,Male,2009-01-21,Ivorian,Traditional,"82 Kaneshie, Accra",Hope Academy
Rebecca Afia Ampofo,,SCIENCE 1-B,Female,2009-08-18,Ghanaian,Islam,"116 Tema, Accra",Crown Prep
Silas Kwame Boakye,,SCIENCE 1-B,Male,2008-11-22,Ghanaian,Christianity,"14 Teshie, Tema",New Era Academy
Yasmin Esi Frimpong,,SCIENCE 1-B,Female,2009-01-28,Ivorian,Islam,"59 Nungua, Accra",Bright Future Academy
Yaa Kojo Bempah,,SCIENCE 1-B,Male,2010-05-06,Nigerian,Christianity,"85 Adenta, Accra",St. Peter’s Basic School
Stella Aba Bonsu,,SCIENCE 1-B,Female,2009-11-20,Nigerian,Islam,"115 Madina, Accra",Sunrise Basic School
Raymond Yaw Opoku,,SCIENCE 1-B,Male,2008-11-25,Ghanaian,Traditional,"28 Achimota, Accra",Divine Grace School
Queendalyn Afia Wiredu,,SCIENCE 1-B,Female,2010-07-27,Togolese,Islam,"17 Teshie, Tema",Bright Future Academy
Osei Kwame Bediatuo,,SCIENCE 1-B,Male,2009-02-24,Ghanaian,Islam,"63 Ashaley Botwe, Tema",New Era Academy
Matilda Esi Safo,,SCIENCE 1-B,Female,2010-12-03,Ghanaian,Traditional,"19 Nungua, Accra",Ridge International School
Wisdom Nii Wiredu,,SCIENCE 1-B,Male,2009-06-05,Ivorian,Islam,"44 Teshie, Accra",Ridge International School
Felicia Adjoa Sarpong,,SCIENCE 1-B,Female,2009-04-28,Ghanaian,Traditional,"93 Achimota, Accra",Hope Academy
Silas Kojo Addo,,SCIENCE 1-B,Male,2009-04-10,Ghanaian,Christianity,"88 Nungua, Accra",Hope Academy
Adjoa Esi Awuah,,SCIENCE 1-B,Female,2010-06-07,Togolese,Islam,"116 Madina, Accra",Ridge International School
Ishmael Kwame Aidoo,,SCIENCE 1-B,Male,2010-11-17,Ghanaian,Traditional,"97 Nungua, Accra",Crown Prep
Elizabeth Naa Bediako,,SCIENCE 1-B,Female,2010-05-03,Ghanaian,Traditional,"58 Dansoman, Accra",Hope Academy
Tobias Paapa Nkrumah,,SCIENCE 1-B,Male,2010-07-18,Ghanaian,Islam,"109 Airport Residential, Accra",New Era Academy
Joyce Aba Baidoo,,SCIENCE 1-B,Female,2009-04-01,Ivorian,Christianity,"98 Nungua, Accra",New Era Academy
Obed Nii Bonsu,,SCIENCE 1-B,Male,2009-12-13,Ghanaian,Christianity,"97 Dansoman, Accra",Little Angels School
Afua Akua Yorke,,SCIENCE 1-B,Female,2010-02-22,Ghanaian,Islam,"40 East Legon, Tema",Crown Prep
Kwadwo Kofi Mensah,,SCIENCE 1-B,Male,2009-03-24,Ghanaian,Islam,"74 Achimota, Accra",Little Angels School
Keziah Yaa Akoto,,SCIENCE 1-B,Female,2009-02-08,Ivorian,Traditional,"40 Awoshie, Accra",New Era Academy
Godfred Kwame Asamoah,,SCIENCE 1-B,Male,2010-04-28,Nigerian,Christianity,"28 Spintex, Accra",Galaxy Preparatory
Esther Afia Twum,,SCIENCE 1-B,Female,2009-05-17,Ghanaian,Christianity,"115 Dzorwulu, Tema",Ridge International School
Nathaniel Paapa Donkor,,SCIENCE 1-B,Male,2011-02-16,Ghanaian,Christianity,"97 Haatso, Accra",St. Peter’s Basic School
Ohemaa Naa Darko,,SCIENCE 1-B,Female,2009-06-26,Ghanaian,Traditional,"116 Dansoman, Accra",Hope Academy
Osei Kwame Ampofo,,SCIENCE 1-B,Male,2009-02-12,Ghanaian,Traditional,"55 Airport Residential, Accra",Crown Prep
Ivy Naa Acheampong,,SCIENCE 1-B,Female,2009-07-05,Ghanaian,Islam,"65 Haatso, Accra",Little Angels School
Eric Kojo Dartey,,SCIENCE 1-B,Male,2010-03-22,Ivorian,Christianity,"4 Adenta, Accra",Galaxy Preparatory
Doris Naa Quarshie,,SCIENCE 1-B,Female,2010-08-14,Ivorian,Christianity,"14 Ashaley Botwe, Accra",Sunrise Basic School
Ato Nii Nkrumah,,SCIENCE 1-B,Male,2011-04-21,Ivorian,Christianity,"79 Spintex, Accra",Divine Grace School
Cynthia Akua Eshun,,SCIENCE 1-B,Female,2010-12-25,Ghanaian,Christianity,"47 Haatso, Accra",Ridge International School
Jeremiah Kwesi Asante,,SCIENCE 1-B,Male,2009-05-10,Ghanaian,Traditional,"97 Spintex, Accra",Hope Academy
Matilda Akua Boakye,,SCIENCE 1-B,Female,2010-04-28,Ivorian,Islam,"92 Nungua, Accra",Ridge International School
Nathaniel Kojo Ampofo,,SCIENCE 1-B,Male,2010-08-16,Nigerian,Traditional,"44 Mamprobi, Accra",Crown Prep
Ishmael Nii Boateng,,SCIENCE 2-A,Male,2009-11-24,Nigerian,Christianity,"15 Haatso, Tema",Hope Academy
Afua Yaa Baffoe,,SCIENCE 2-A,Female,2010-07-23,Togolese,Christianity,"111 Kaneshie, Tema",Little Angels School
Nathaniel Nii Adutwum,,SCIENCE 2-A,Male,2009-03-04,Ghanaian,Traditional,"49 Ashaley Botwe, Accra",Bright Future Academy
Naomi Adjoa Peprah,,SCIENCE 2-A,Female,2010-03-07,Ghanaian,Traditional,"120 Osu, Accra",Bright Future Academy
Vincent Yaw Aidoo,,SCIENCE 2-A,Male,2008-08-26,Nigerian,Traditional,"114 Kaneshie, Accra",Crown Prep
Esi Yaa Nti,,SCIENCE 2-A,Female,2008-02-28,Ivorian,Christianity,"20 Osu, Accra",Hope Academy
Kingsley Nii Appiah,,SCIENCE 2-A,Male,2009-12-03,Ghanaian,Islam,"118 Achimota, Accra",Little Angels School
Irene Esi Acheampong,,SCIENCE 2-A,Female,2010-05-18,Nigerian,Islam,"1 Osu, Tema",Divine Grace School
Ibrahim Yaw Larbi,,SCIENCE 2-A,Male,2009-03-04,Ghanaian,Islam,"32 East Legon, Accra",Little Angels School
Philomena Akua Arthur,,SCIENCE 2-A,Female,2008-01-24,Ghanaian,Christianity,"77 Tema, Accra",Ridge International School
Daniel Kwame Donkor,,SCIENCE 2-A,Male,2009-12-28,Ghanaian,Islam,"109 Achimota, Accra",Crown Prep
Winifred Esi Agyemang,,SCIENCE 2-A,Female,2010-01-14,Togolese,Islam,"34 Dzorwulu, Accra",Sunrise Basic School
Gabriel Kwesi Ofori,,SCIENCE 2-A,Male,2010-07-07,Nigerian,Islam,"8 Ashaiman, Accra",Galaxy Preparatory
Esther Akua Wiredu,,SCIENCE 2-A,Female,2009-01-20,Ivorian,Islam,"47 Achimota, Accra",Sunrise Basic School
Bright Paapa Donkor,,SCIENCE 2-A,Male,2008-02-05,Ivorian,Islam,"22 Ashaley Botwe, Accra",Hope Academy
Cynthia Afia Aggrey,,SCIENCE 2-A,Female,2008-12-16,Togolese,Christianity,"50 Osu, Accra",Sunrise Basic School
Nicholas Kwesi Appau,,SCIENCE 2-A,Male,2009-03-17,Ghanaian,Traditional,"97 Madina, Accra",Galaxy Preparatory
Adwoa Adjoa Sarpong,,SCIENCE 2-A,Female,2008-11-10,Ghanaian,Christianity,"80 Dzorwulu, Accra",Little Angels School
Ato Nii Asamoah,,SCIENCE 2-A,Male,2010-08-11,Ghanaian,Islam,"48 Teshie, Accra",Galaxy Preparatory
Zoe Adjoa Adjei,,SCIENCE 2-A,Female,2008-08-21,Nigerian,Islam,"52 Dzorwulu, Accra",New Era Academy
Ebenezer Nii Acheampong,,SCIENCE 2-A,Male,2008-08-06,Ivorian,Islam,"66 Nungua, Accra",New Era Academy
Winifred Adjoa Dapaah,,SCIENCE 2-A,Female,2008-07-18,Ghanaian,Islam,"19 Madina, Tema",Galaxy Preparatory
Ebenezer Paapa Arthur,,SCIENCE 2-A,Male,2008-05-28,Ghanaian,Traditional,"14 Kaneshie, Accra",Sunrise Basic School
Ivy Afia Ofori,,SCIENCE 2-A,Female,2010-07-16,Ghanaian,Christianity,"99 Osu, Tema",St. Peter’s Basic School
Emmanuel Paapa Danso,,SCIENCE 2-A,Male,2010-06-04,Ghanaian,Christianity,"63 Haatso, Accra",Divine Grace School
Yvonne Akua Baidoo,,SCIENCE 2-A,Female,2008-06-20,Ivorian,Christianity,"81 Kaneshie, Tema",New Era Academy
Bernard Paapa Ampofo,,SCIENCE 2-A,Male,2009-02-13,Ghanaian,Christianity,"88 Nungua, Tema",St. Peter’s Basic School
Kendra Naa Twum,,SCIENCE 2-A,Female,2008-02-29,Togolese,Christianity,"58 Dansoman, Accra",Ridge International School
Ibrahim Nii Adutwum,,SCIENCE 2-A,Male,2009-06-02,Togolese,Christianity,"94 Ashaiman, Accra",Sunrise Basic School
Mabel Afia Twum,,SCIENCE 2-A,Female,2010-01-20,Ghanaian,Islam,"59 Madina, Tema",Bright Future Academy
Eric Paapa Peprah,,SCIENCE 2-A,Male,2010-06-03,Ghanaian,Islam,"37 Kaneshie, Tema",Galaxy Preparatory
Gloria Yaa Essien,,SCIENCE 2-A,Female,2008-02-08,Nigerian,Christianity,"26 Dansoman, Accra",St. Peter’s Basic School
Cyrus Kofi Yeboah,,SCIENCE 2-A,Male,2010-01-14,Ghanaian,Traditional,"118 Madina, Accra",Divine Grace School
Gloria Yaa Boakye,,SCIENCE 2-A,Female,2008-12-28,Ivorian,Christianity,"83 Dansoman, Tema",St. Peter’s Basic School
Elijah Paapa Asante,,SCIENCE 2-A,Male,2009-08-11,Togolese,Islam,"32 Achimota, Tema",Crown Prep
Ursula Naa Appiah,,SCIENCE 2-A,Female,2009-03-13,Ghanaian,Christianity,"117 Ashaiman, Accra",Little Angels School
Collins Yaw Asante,,SCIENCE 2-A,Male,2007-11-16,Nigerian,Christianity,"32 Ashaley Botwe, Tema",St. Peter’s Basic School
Naomi Esi Kyei,,SCIENCE 2-A,Female,2010-02-22,Ghanaian,Traditional,"90 Achimota, Accra",Hope Academy
Godfred Kojo Amissah,,SCIENCE 2-A,Male,2008-01-21,Ghanaian,Christianity,"47 Dzorwulu, Accra",Hope Academy
Rosemond Afia Wiredu,,SCIENCE 2-A,Female,2009-03-16,Ivorian,Christianity,"26 Mamprobi, Accra",Divine Grace School
Gabriel Kwesi Boakye,,SCIENCE 2-A,Male,2009-02-27,Ghanaian,Islam,"105 Lapaz, Accra",St. Peter’s Basic School
Richmond Paapa Aidoo,,SCIENCE 2-B,Male,2010-04-16,Togolese,Christianity,"3 Dansoman, Accra",New Era Academy
Priscilla Adjoa Asamoah,,SCIENCE 2-B,Female,2010-01-01,Ghanaian,Islam,"92 Dansoman, Accra",Little Angels School
